#phi    kapx    kapz    vl         vs1        vs2        vlx     vly      vlz     vs1x    vs1y     vs1z    vs2x    vs2y     vs2z
1.5708  +0.0000  +0.0000  3765.8755  5977.2295  3765.8755  1.0000  0.0000   0.0000  0.0000  0.0000   1.0000  0.0000  1.0000   0.0000  
1.8326  -0.2588  +0.0000  3765.8755  3766.6292  5976.7546  -0.2584  -0.9660   0.0000  -0.9660  0.2584   0.0000  0.0000  0.0000   1.0000  
2.0944  -0.5000  +0.0000  3765.8755  3768.1374  5975.8039  -0.4996  -0.8663   0.0000  -0.8663  0.4996   0.0000  0.0000  0.0000   1.0000  
2.3562  -0.7071  +0.0000  3765.8755  3768.8918  5975.3281  -0.7071  -0.7071   0.0000  -0.7071  0.7071   0.0000  0.0000  0.0000   1.0000  
2.6180  -0.8660  +0.0000  3765.8755  5975.8039  3768.1374  -0.4996  0.8663   0.0000  0.8663  0.4996   0.0000  0.0000  0.0000   1.0000  
2.8798  -0.9659  +0.0000  3765.8755  5976.7546  3766.6292  -0.2584  0.9660   0.0000  0.9660  0.2584   0.0000  0.0000  0.0000   1.0000  
3.1416  -1.0000  +0.0000  3765.8755  5977.2295  3765.8755  0.0000  0.0000   1.0000  1.0000  0.0000   0.0000  0.0000  1.0000   0.0000  
3.4034  -0.9659  +0.0000  3765.8755  5976.7546  3766.6292  0.2584  0.9660   0.0000  0.9660  -0.2584   0.0000  0.0000  0.0000   1.0000  
3.6652  -0.8660  +0.0000  3765.8755  5975.8039  3768.1374  0.4996  0.8663   0.0000  0.8663  -0.4996   0.0000  0.0000  0.0000   1.0000  
3.9270  -0.7071  +0.0000  3765.8755  5975.3281  3768.8918  0.7071  0.7071   0.0000  0.7071  -0.7071   0.0000  0.0000  0.0000   1.0000  
4.1888  -0.5000  +0.0000  3765.8755  3768.1374  5975.8039  0.4996  -0.8663   0.0000  -0.8663  -0.4996   0.0000  0.0000  0.0000   1.0000  
4.4506  -0.2588  +0.0000  3765.8755  3766.6292  5976.7546  0.2584  -0.9660   0.0000  -0.9660  -0.2584   0.0000  0.0000  0.0000   1.0000  
4.7124  -0.0000  +0.0000  3765.8755  5977.2295  3765.8755  1.0000  0.0000   0.0000  0.0000  0.0000   1.0000  0.0000  1.0000   0.0000  
4.9742  +0.2588  +0.0000  3765.8755  3766.6292  5976.7546  -0.2584  -0.9660   0.0000  -0.9660  0.2584   0.0000  0.0000  0.0000   1.0000  
5.2360  +0.5000  +0.0000  3765.8755  3768.1374  5975.8039  -0.4996  -0.8663   0.0000  -0.8663  0.4996   0.0000  0.0000  0.0000   1.0000  
5.4978  +0.7071  +0.0000  3765.8755  3768.8918  5975.3281  -0.7071  -0.7071   0.0000  -0.7071  0.7071   0.0000  0.0000  0.0000   1.0000  
5.7596  +0.8660  +0.0000  3765.8755  5975.8039  3768.1374  -0.4996  0.8663   0.0000  0.8663  0.4996   0.0000  0.0000  0.0000   1.0000  
6.0214  +0.9659  +0.0000  3765.8755  5976.7546  3766.6292  -0.2584  0.9660   0.0000  0.9660  0.2584   0.0000  0.0000  0.0000   1.0000  
6.2832  +1.0000  +0.0000  3765.8755  5977.2295  3765.8755  0.0000  0.0000   1.0000  1.0000  0.0000   0.0000  0.0000  1.0000   0.0000  
6.5450  +0.9659  +0.0000  3765.8755  5976.7546  3766.6292  0.2584  0.9660   0.0000  0.9660  -0.2584   0.0000  0.0000  0.0000   1.0000  
6.8068  +0.8660  +0.0000  3765.8755  5975.8039  3768.1374  0.4996  0.8663   0.0000  0.8663  -0.4996   0.0000  0.0000  0.0000   1.0000  
7.0686  +0.7071  +0.0000  3765.8755  5975.3281  3768.8918  0.7071  0.7071   0.0000  0.7071  -0.7071   0.0000  0.0000  0.0000   1.0000  
7.3304  +0.5000  +0.0000  3765.8755  3768.1374  5975.8039  0.4996  -0.8663   0.0000  -0.8663  -0.4996   0.0000  0.0000  0.0000   1.0000  
7.5922  +0.2588  +0.0000  3765.8755  3766.6292  5976.7546  0.2584  -0.9660   0.0000  -0.9660  -0.2584   0.0000  0.0000  0.0000   1.0000  
7.8540  +0.0000  +0.0000  3765.8755  5977.2295  3765.8755  1.0000  0.0000   0.0000  0.0000  0.0000   1.0000  0.0000  1.0000   0.0000  
